date,count,year,month,NAME,state,age_under_5,age_5_9,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70_79,age_80_84,age_85_plus,total_population,age_60_69_ratio,Month,AvgTemp,MinTemp,MaxTemp,Precip,HeatingDegreeDays,CoolingDegreeDays,age_under_5_ratio,age_5_9_ratio,age_10_19_ratio,age_20_29_ratio,age_30_39_ratio,age_40_49_ratio,age_50_59_ratio,age_70_79_ratio,age_80_84_ratio,age_85_plus_ratio
2013-01-01,91.0,2013,1,Maine,23.0,64177.0,70496.0,159483.0,157116.0,146376.0,180882.0,216316.0,174930.0,96160.0,33113.0,10262.0,1328302.0,0.131694449003314,"January, 2013",15.8,5.7,26.0,1.42,1394.0,,0.04831506690496589,0.05307226820406805,0.12006531647170599,0.11828334219176061,0.11019783151723027,0.13617535771232747,0.16285152021151816,0.0723931756483089,0.024928818898112024,0.007725652750654595
2013-02-01,72.0,2013,2,Maine,23.0,64177.0,70496.0,159483.0,157116.0,146376.0,180882.0,216316.0,174930.0,96160.0,33113.0,10262.0,1328302.0,0.131694449003314,"February, 2013",20.0,11.3,28.8,3.06,1155.0,,0.04831506690496589,0.05307226820406805,0.12006531647170599,0.11828334219176061,0.11019783151723027,0.13617535771232747,0.16285152021151816,0.0723931756483089,0.024928818898112024,0.007725652750654595
2013-03-01,103.0,2013,3,Maine,23.0,64177.0,70496.0,159483.0,157116.0,146376.0,180882.0,216316.0,174930.0,96160.0,33113.0,10262.0,1328302.0,0.131694449003314,"March, 2013",30.3,22.5,38.2,2.45,1002.0,,0.04831506690496589,0.05307226820406805,0.12006531647170599,0.11828334219176061,0.11019783151723027,0.13617535771232747,0.16285152021151816,0.0723931756483089,0.024928818898112024,0.007725652750654595
2013-04-01,72.0,2013,4,Maine,23.0,64177.0,70496.0,159483.0,157116.0,146376.0,180882.0,216316.0,174930.0,96160.0,33113.0,10262.0,1328302.0,0.131694449003314,"April, 2013",39.1,28.2,50.0,1.98,702.0,,0.04831506690496589,0.05307226820406805,0.12006531647170599,0.11828334219176061,0.11019783151723027,0.13617535771232747,0.16285152021151816,0.0723931756483089,0.024928818898112024,0.007725652750654595
2013-05-01,62.0,2013,5,Maine,23.0,64177.0,70496.0,159483.0,157116.0,146376.0,180882.0,216316.0,174930.0,96160.0,33113.0,10262.0,1328302.0,0.131694449003314,"May, 2013",52.3,40.2,64.4,5.67,370.0,,0.04831506690496589,0.05307226820406805,0.12006531647170599,0.11828334219176061,0.11019783151723027,0.13617535771232747,0.16285152021151816,0.0723931756483089,0.024928818898112024,0.007725652750654595
2013-06-01,104.0,2013,6,Maine,23.0,64177.0,70496.0,159483.0,157116.0,146376.0,180882.0,216316.0,174930.0,96160.0,33113.0,10262.0,1328302.0,0.131694449003314,"June, 2013",60.8,50.3,71.3,6.55,97.0,22.0,0.04831506690496589,0.05307226820406805,0.12006531647170599,0.11828334219176061,0.11019783151723027,0.13617535771232747,0.16285152021151816,0.0723931756483089,0.024928818898112024,0.007725652750654595
2013-07-01,130.0,2013,7,Maine,23.0,64177.0,70496.0,159483.0,157116.0,146376.0,180882.0,216316.0,174930.0,96160.0,33113.0,10262.0,1328302.0,0.131694449003314,"July, 2013",68.3,57.7,78.8,4.89,11.0,161.0,0.04831506690496589,0.05307226820406805,0.12006531647170599,0.11828334219176061,0.11019783151723027,0.13617535771232747,0.16285152021151816,0.0723931756483089,0.024928818898112024,0.007725652750654595
2013-08-01,140.0,2013,8,Maine,23.0,64177.0,70496.0,159483.0,157116.0,146376.0,180882.0,216316.0,174930.0,96160.0,33113.0,10262.0,1328302.0,0.131694449003314,"August, 2013",63.7,52.7,74.7,4.6,60.0,72.0,0.04831506690496589,0.05307226820406805,0.12006531647170599,0.11828334219176061,0.11019783151723027,0.13617535771232747,0.16285152021151816,0.0723931756483089,0.024928818898112024,0.007725652750654595
2013-09-01,120.0,2013,9,Maine,23.0,64177.0,70496.0,159483.0,157116.0,146376.0,180882.0,216316.0,174930.0,96160.0,33113.0,10262.0,1328302.0,0.131694449003314,"September, 2013",56.7,46.6,66.9,5.42,206.0,5.0,0.04831506690496589,0.05307226820406805,0.12006531647170599,0.11828334219176061,0.11019783151723027,0.13617535771232747,0.16285152021151816,0.0723931756483089,0.024928818898112024,0.007725652750654595
2013-10-01,106.0,2013,10,Maine,23.0,64177.0,70496.0,159483.0,157116.0,146376.0,180882.0,216316.0,174930.0,96160.0,33113.0,10262.0,1328302.0,0.131694449003314,"October, 2013",47.3,37.0,57.6,1.7,487.0,,0.04831506690496589,0.05307226820406805,0.12006531647170599,0.11828334219176061,0.11019783151723027,0.13617535771232747,0.16285152021151816,0.0723931756483089,0.024928818898112024,0.007725652750654595
