year,month,NAME,state,age_under_5,age_5_9,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70_79,age_80_84,age_85_plus,total_population,age_under_5_ratio,age_5_9_ratio,age_10_19_ratio,age_20_29_ratio,age_30_39_ratio,age_40_49_ratio,age_50_59_ratio,age_60_69_ratio,age_70_79_ratio,age_80_84_ratio,age_85_plus_ratio
2017,1,Maine,23,64699.0,68883.0,156700.0,155396.0,157193.0,164780.0,209563.0,195755.0,111230.0,29824.0,30948.0,1344971.0,0.048104382919780427,0.05121523066296597,0.11650808827848333,0.1155385506453299,0.11687463893273535,0.12251565275385119,0.15581228145439568,0.14554588909351948,0.08270066789544162,0.022174455806110317,0.02301016155738674
2017,2,Maine,23,64699.0,68883.0,156700.0,155396.0,157193.0,164780.0,209563.0,195755.0,111230.0,29824.0,30948.0,1344971.0,0.048104382919780427,0.05121523066296597,0.11650808827848333,0.1155385506453299,0.11687463893273535,0.12251565275385119,0.15581228145439568,0.14554588909351948,0.08270066789544162,0.022174455806110317,0.02301016155738674
2017,3,Maine,23,64699.0,68883.0,156700.0,155396.0,157193.0,164780.0,209563.0,195755.0,111230.0,29824.0,30948.0,1344971.0,0.048104382919780427,0.05121523066296597,0.11650808827848333,0.1155385506453299,0.11687463893273535,0.12251565275385119,0.15581228145439568,0.14554588909351948,0.08270066789544162,0.022174455806110317,0.02301016155738674
2017,4,Maine,23,64699.0,68883.0,156700.0,155396.0,157193.0,164780.0,209563.0,195755.0,111230.0,29824.0,30948.0,1344971.0,0.048104382919780427,0.05121523066296597,0.11650808827848333,0.1155385506453299,0.11687463893273535,0.12251565275385119,0.15581228145439568,0.14554588909351948,0.08270066789544162,0.022174455806110317,0.02301016155738674
2017,5,Maine,23,64699.0,68883.0,156700.0,155396.0,157193.0,164780.0,209563.0,195755.0,111230.0,29824.0,30948.0,1344971.0,0.048104382919780427,0.05121523066296597,0.11650808827848333,0.1155385506453299,0.11687463893273535,0.12251565275385119,0.15581228145439568,0.14554588909351948,0.08270066789544162,0.022174455806110317,0.02301016155738674
2017,6,Maine,23,64699.0,68883.0,156700.0,155396.0,157193.0,164780.0,209563.0,195755.0,111230.0,29824.0,30948.0,1344971.0,0.048104382919780427,0.05121523066296597,0.11650808827848333,0.1155385506453299,0.11687463893273535,0.12251565275385119,0.15581228145439568,0.14554588909351948,0.08270066789544162,0.022174455806110317,0.02301016155738674
2017,7,Maine,23,64699.0,68883.0,156700.0,155396.0,157193.0,164780.0,209563.0,195755.0,111230.0,29824.0,30948.0,1344971.0,0.048104382919780427,0.05121523066296597,0.11650808827848333,0.1155385506453299,0.11687463893273535,0.12251565275385119,0.15581228145439568,0.14554588909351948,0.08270066789544162,0.022174455806110317,0.02301016155738674
2017,8,Maine,23,64699.0,68883.0,156700.0,155396.0,157193.0,164780.0,209563.0,195755.0,111230.0,29824.0,30948.0,1344971.0,0.048104382919780427,0.05121523066296597,0.11650808827848333,0.1155385506453299,0.11687463893273535,0.12251565275385119,0.15581228145439568,0.14554588909351948,0.08270066789544162,0.022174455806110317,0.02301016155738674
2017,9,Maine,23,64699.0,68883.0,156700.0,155396.0,157193.0,164780.0,209563.0,195755.0,111230.0,29824.0,30948.0,1344971.0,0.048104382919780427,0.05121523066296597,0.11650808827848333,0.1155385506453299,0.11687463893273535,0.12251565275385119,0.15581228145439568,0.14554588909351948,0.08270066789544162,0.022174455806110317,0.02301016155738674
2017,10,Maine,23,64699.0,68883.0,156700.0,155396.0,157193.0,164780.0,209563.0,195755.0,111230.0,29824.0,30948.0,1344971.0,0.048104382919780427,0.05121523066296597,0.11650808827848333,0.1155385506453299,0.11687463893273535,0.12251565275385119,0.15581228145439568,0.14554588909351948,0.08270066789544162,0.022174455806110317,0.02301016155738674
2017,11,Maine,23,64699.0,68883.0,156700.0,155396.0,157193.0,164780.0,209563.0,195755.0,111230.0,29824.0,30948.0,1344971.0,0.048104382919780427,0.05121523066296597,0.11650808827848333,0.1155385506453299,0.11687463893273535,0.12251565275385119,0.15581228145439568,0.14554588909351948,0.08270066789544162,0.022174455806110317,0.02301016155738674
2017,12,Maine,23,64699.0,68883.0,156700.0,155396.0,157193.0,164780.0,209563.0,195755.0,111230.0,29824.0,30948.0,1344971.0,0.048104382919780427,0.05121523066296597,0.11650808827848333,0.1155385506453299,0.11687463893273535,0.12251565275385119,0.15581228145439568,0.14554588909351948,0.08270066789544162,0.022174455806110317,0.02301016155738674
2018,1,Maine,23,64204.6,68812.0,156155.6,155768.2,160701.6,163928.8,205930.0,198976.4,117644.8,30666.6,31055.8,1353844.4,0.04742391370825185,0.050827111298757825,0.11534235396623128,0.1150562058682667,0.1187001992252581,0.12108392958599969,0.1521075834120967,0.1469713949402162,0.08689683984363344,0.022651495253073396,0.022938972898214893
2018,2,Maine,23,64204.6,68812.0,156155.6,155768.2,160701.6,163928.8,205930.0,198976.4,117644.8,30666.6,31055.8,1353844.4,0.04742391370825185,0.050827111298757825,0.11534235396623128,0.1150562058682667,0.1187001992252581,0.12108392958599969,0.1521075834120967,0.1469713949402162,0.08689683984363344,0.022651495253073396,0.022938972898214893
2018,3,Maine,23,64204.6,68812.0,156155.6,155768.2,160701.6,163928.8,205930.0,198976.4,117644.8,30666.6,31055.8,1353844.4,0.04742391370825185,0.050827111298757825,0.11534235396623128,0.1150562058682667,0.1187001992252581,0.12108392958599969,0.1521075834120967,0.1469713949402162,0.08689683984363344,0.022651495253073396,0.022938972898214893
